"","country_name","Mean_Life_Sat_3","Mean_Life_Sat_4","Mean_Life_Sat_6","Mean_Life_Sat_5","Mean_Life_Sat_7","Mean_Life_Sat_1","Mean_Life_Sat_2","SD_Life_Sat_3","SD_Life_Sat_4","SD_Life_Sat_6","SD_Life_Sat_5","SD_Life_Sat_7","SD_Life_Sat_1","SD_Life_Sat_2","N_3","N_4","N_6","N_5","N_7","N_1","N_2"
"1","Albania",4.77,5.17,NA,NA,NA,NA,NA,1.82,2.25,NA,NA,NA,NA,NA,993,998,NA,NA,NA,NA,NA
"2","Algeria",NA,5.67,6.3,NA,NA,NA,NA,NA,2.86,2.41,NA,NA,NA,NA,NA,1269,1166,NA,NA,NA,NA
"3","Andorra",NA,NA,NA,7.14,7.54,NA,NA,NA,NA,NA,1.62,1.64,NA,NA,NA,NA,NA,1003,1002,NA,NA
"4","Argentina",6.93,7.3,7.48,7.7,7.7,6.77,7.25,2.31,2.26,1.64,1.92,1.74,2.11,2.03,1076,1268,1020,995,1003,974,992
"5","Armenia",4.32,NA,5.23,NA,6.61,NA,NA,2.37,NA,2.55,NA,2.89,NA,NA,1989,NA,1096,NA,1220,NA,NA
"6","Australia",7.58,NA,7.38,7.3,7.53,7.89,NA,1.88,NA,1.98,1.8,1.75,1.75,NA,2039,NA,1462,1410,1797,1226,NA
"7","Azerbaijan",5.39,NA,6.74,NA,NA,NA,NA,2.29,NA,2.24,NA,NA,NA,NA,1963,NA,1002,NA,NA,NA,NA
"8","Bangladesh",6.41,5.78,NA,NA,7.6,NA,NA,2.25,2.18,NA,NA,1.85,NA,NA,1497,1479,NA,NA,1200,NA,NA
"9","Belarus",4.35,NA,5.8,NA,NA,NA,5.52,2.19,NA,2.12,NA,NA,NA,2.24,2072,NA,1531,NA,NA,NA,1005
"10","Bolivia",NA,NA,NA,NA,7.47,NA,NA,NA,NA,NA,NA,2.06,NA,NA,NA,NA,NA,NA,2058,NA,NA
"11","Bosnia & Herzegovina",5.46,5.77,NA,NA,NA,NA,NA,2.21,2.39,NA,NA,NA,NA,NA,1199,1198,NA,NA,NA,NA,NA
"12","Brazil",7.15,NA,7.85,7.64,7.56,NA,7.37,2.68,NA,2.2,2.11,2.33,NA,2.4,1139,NA,1483,1495,1754,NA,1770
"13","Bulgaria",4.66,NA,NA,5.22,NA,NA,NA,2.4,NA,NA,2.29,NA,NA,NA,1057,NA,NA,957,NA,NA,NA
"14","Burkina Faso",NA,NA,NA,5.57,NA,NA,NA,NA,NA,NA,2.18,NA,NA,NA,NA,NA,NA,1499,NA,NA,NA
"15","Canada",NA,7.85,NA,7.75,7.04,7.82,7.89,NA,1.88,NA,1.71,1.81,1.74,1.73,NA,1929,NA,2157,4018,1249,1728
"16","Chile",6.92,7.12,7.27,7.24,7.19,NA,7.55,2.14,2.16,1.82,2.04,1.98,NA,2.21,997,1193,988,992,991,NA,1496
"17","China",6.83,6.53,6.86,6.76,7.42,NA,7.29,2.42,2.47,1.98,2.4,2.05,NA,2.1,1495,991,2252,1937,3024,NA,996
"18","Colombia",8.31,NA,8.39,8.31,8.19,NA,NA,2,NA,1.79,1.94,2.16,NA,NA,6004,NA,1512,3018,1520,NA,NA
"19","Croatia",6.18,NA,NA,NA,NA,NA,NA,2.13,NA,NA,NA,NA,NA,NA,1192,NA,NA,NA,NA,NA,NA
"20","Cyprus",NA,NA,7,7.35,6.67,NA,NA,NA,NA,2.14,2.03,2.19,NA,NA,NA,NA,993,1050,996,NA,NA
"21","Czechia",6.39,NA,NA,NA,7.07,NA,6.36,2.05,NA,NA,NA,1.87,NA,2.13,1140,NA,NA,NA,1200,NA,924
"22","Dominican Republic",7.13,NA,NA,NA,NA,NA,NA,2.47,NA,NA,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA
"23","Ecuador",NA,NA,7.92,NA,7.79,NA,NA,NA,NA,1.74,NA,2.34,NA,NA,NA,NA,1202,NA,1198,NA,NA
"24","Egypt",NA,5.36,5.01,5.78,5.87,NA,NA,NA,3.35,2.85,2.68,2.31,NA,NA,NA,2998,1523,3050,1197,NA,NA
"25","El Salvador",7.5,NA,NA,NA,NA,NA,NA,2.43,NA,NA,NA,NA,NA,NA,1229,NA,NA,NA,NA,NA,NA
"26","Estonia",5,NA,6.2,NA,NA,NA,NA,2.27,NA,2.08,NA,NA,NA,NA,1020,NA,1527,NA,NA,NA,NA
"27","Ethiopia",NA,NA,NA,4.99,5.78,NA,NA,NA,NA,NA,2.01,2.84,NA,NA,NA,NA,NA,1490,1229,NA,NA
"28","Finland",7.78,NA,NA,7.84,NA,7.91,NA,1.55,NA,NA,1.75,NA,1.41,NA,983,NA,NA,1014,NA,998,NA
"29","France",NA,NA,NA,6.86,NA,NA,NA,NA,NA,NA,1.93,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA
"30","Georgia",4.68,NA,5.45,4.96,NA,NA,NA,2.61,NA,2.43,2.25,NA,NA,NA,1997,NA,1200,1476,NA,NA,NA
"31","Germany",6.93,NA,7.39,6.92,7.74,NA,NA,1.94,NA,1.91,1.99,1.68,NA,NA,2023,NA,2043,2050,1523,NA,NA
"32","Ghana",NA,NA,6.42,6.12,NA,NA,NA,NA,NA,2.35,2.63,NA,NA,NA,NA,NA,1552,1528,NA,NA,NA
"33","Greece",NA,NA,NA,NA,6.18,NA,NA,NA,NA,NA,NA,2.07,NA,NA,NA,NA,NA,NA,1200,NA,NA
"34","Guatemala",NA,NA,NA,7.95,7.5,NA,NA,NA,NA,NA,2.09,2.14,NA,NA,NA,NA,NA,999,1229,NA,NA
"35","Haiti",NA,NA,5.59,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,1985,NA,NA,NA,NA
"36","Hong Kong SAR China",NA,NA,6.85,6.41,6.63,NA,NA,NA,NA,1.84,1.93,1.8,NA,NA,NA,NA,997,1244,2074,NA,NA
"37","Hungary",5.86,NA,NA,5.89,NA,6.93,NA,2.28,NA,NA,2.14,NA,2.41,NA,647,NA,NA,1002,NA,1443,NA
"38","India",6.53,5.14,6.52,5.8,NA,NA,6.7,2.64,2.23,2.28,2.35,NA,NA,2.28,1925,1980,4054,1953,NA,NA,2461
"39","Indonesia",NA,6.96,NA,6.91,7.56,NA,NA,NA,2.06,NA,2.16,2.42,NA,NA,NA,990,NA,1906,3196,NA,NA
"40","Iran",NA,6.38,NA,6.43,6.2,NA,NA,NA,2.41,NA,2.4,2.62,NA,NA,NA,2504,NA,2667,1498,NA,NA
"41","Iraq",NA,5.23,5.91,4.46,4.46,NA,NA,NA,2.41,2.18,2.42,1.9,NA,NA,NA,2325,1191,2670,1200,NA,NA
"42","Israel",NA,7.03,NA,NA,NA,NA,NA,NA,2.17,NA,NA,NA,NA,NA,NA,1190,NA,NA,NA,NA,NA
"43","Italy",NA,NA,NA,6.89,NA,NA,NA,NA,NA,NA,1.74,NA,NA,NA,NA,NA,NA,1006,NA,NA,NA
"44","Japan",6.61,6.48,6.91,6.99,6.76,6.58,6.53,1.9,1.97,1.98,1.81,1.92,1.89,1.75,1029,1316,2381,1080,1330,1141,971
"45","Jordan",NA,5.6,6.61,7.2,6.87,NA,NA,NA,2.5,2.24,2.8,2.42,NA,NA,NA,1216,1200,1197,1203,NA,NA
"46","Kazakhstan",NA,NA,7.25,NA,6.92,NA,NA,NA,NA,2.1,NA,2.13,NA,NA,NA,NA,1500,NA,1261,NA,NA
"47","Kenya",NA,NA,NA,NA,5.88,NA,NA,NA,NA,NA,NA,2.68,NA,NA,NA,NA,NA,NA,1256,NA,NA
"48","Kuwait",NA,NA,7.21,NA,NA,NA,NA,NA,NA,2.28,NA,NA,NA,NA,NA,NA,1266,NA,NA,NA,NA
"49","Kyrgyzstan",NA,6.48,6.96,NA,8.38,NA,NA,NA,2.57,2.17,NA,2.29,NA,NA,NA,1043,1490,NA,1198,NA,NA
"50","Latvia",4.9,NA,NA,NA,NA,NA,NA,2.22,NA,NA,NA,NA,NA,NA,1190,NA,NA,NA,NA,NA,NA
"51","Lebanon",NA,NA,6.5,NA,6.68,NA,NA,NA,NA,2.12,NA,1.56,NA,NA,NA,NA,1193,NA,1200,NA,NA
"52","Libya",NA,NA,7.26,NA,7.93,NA,NA,NA,NA,2.54,NA,2.22,NA,NA,NA,NA,2112,NA,1167,NA,NA
"53","Lithuania",4.99,NA,NA,NA,NA,NA,NA,2.62,NA,NA,NA,NA,NA,NA,996,NA,NA,NA,NA,NA,NA
"54","Macao SAR China",NA,NA,NA,NA,6.46,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,1022,NA,NA
"55","Malaysia",NA,NA,7.13,6.84,6.99,NA,NA,NA,NA,1.8,1.79,1.75,NA,NA,NA,NA,1300,1200,1313,NA,NA
"56","Maldives",NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,2.19,NA,NA,NA,NA,NA,NA,1037,NA,NA
"57","Mali",NA,NA,NA,6.09,NA,NA,NA,NA,NA,NA,2.59,NA,NA,NA,NA,NA,NA,1430,NA,NA,NA
"58","Mexico",7.69,8.14,8.51,8.23,8.14,7.96,7.41,2.17,2.35,1.93,2.05,2.06,1.78,2.16,1490,1506,2000,1512,1740,1835,1514
"59","Moldova",3.73,4.56,NA,5.45,NA,NA,NA,2.4,2.32,NA,2.26,NA,NA,NA,982,977,NA,1041,NA,NA,NA
"60","Mongolia",NA,NA,NA,NA,6.46,NA,NA,NA,NA,NA,NA,1.98,NA,NA,NA,NA,NA,NA,1638,NA,NA
"61","Montenegro",6.21,5.64,NA,NA,NA,NA,NA,2.18,2.38,NA,NA,NA,NA,NA,233,1023,NA,NA,NA,NA,NA
"62","Morocco",NA,5.86,5.94,5.25,6.68,NA,NA,NA,2.45,2.48,1.8,2.2,NA,NA,NA,1251,1173,1197,1200,NA,NA
"63","Myanmar (Burma)",NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,1200,NA,NA
"64","Netherlands",NA,NA,7.49,7.72,7.36,NA,NA,NA,NA,1.35,1.4,1.45,NA,NA,NA,NA,1882,1049,2063,NA,NA
"65","New Zealand",7.7,NA,7.65,7.89,7.55,NA,NA,2.03,NA,1.94,1.86,1.87,NA,NA,1172,NA,829,927,1025,NA,NA
"66","Nicaragua",NA,NA,NA,NA,7.94,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,1200,NA,NA
"67","Nigeria",6.59,6.87,6.26,NA,5.62,NA,6.59,2.61,2.32,2.33,NA,2.7,NA,2.62,1989,2022,1759,NA,1236,NA,997
"68","North Macedonia",5.7,5.12,NA,NA,NA,NA,NA,2.19,2.72,NA,NA,NA,NA,NA,979,1052,NA,NA,NA,NA,NA
"69","Northern Ireland",NA,NA,NA,NA,7.49,NA,NA,NA,NA,NA,NA,1.88,NA,NA,NA,NA,NA,NA,446,NA,NA
"70","Norway",7.66,NA,NA,7.96,NA,NA,NA,1.87,NA,NA,1.51,NA,NA,NA,1120,NA,NA,1023,NA,NA,NA
"71","Pakistan",NA,4.85,7.48,NA,7.67,NA,NA,NA,1.46,2.1,NA,2.4,NA,NA,NA,1693,1200,NA,1984,NA,NA
"72","Palestinian Territories",NA,NA,5.62,NA,NA,NA,NA,NA,NA,2.49,NA,NA,NA,NA,NA,NA,995,NA,NA,NA,NA
"73","Peru",6.36,6.44,7.13,7.02,7.63,NA,NA,2.43,2.4,2.18,2.23,1.83,NA,NA,1191,1490,1206,1490,1396,NA,NA
"74","Philippines",6.84,6.65,7.34,NA,7.37,NA,NA,2.35,2.53,2.81,NA,2.47,NA,NA,1199,1200,1200,NA,1200,NA,NA
"75","Poland",6.42,NA,7.06,7.02,NA,NA,6.64,2.42,NA,1.99,2.08,NA,NA,2.35,1142,NA,965,989,NA,NA,928
"76","Puerto Rico",8.1,8.49,NA,NA,8.4,NA,NA,2.21,1.97,NA,NA,2.13,NA,NA,1158,717,NA,NA,1122,NA,NA
"77","Qatar",NA,NA,8.01,NA,NA,NA,NA,NA,NA,1.93,NA,NA,NA,NA,NA,NA,1059,NA,NA,NA,NA
"78","Romania",4.86,NA,6.64,5.75,7.18,NA,NA,2.48,NA,2.39,2.38,2.15,NA,NA,1234,NA,1490,1658,1247,NA,NA
"79","Russia",4.45,NA,6.13,6.15,6.55,NA,5.37,2.52,NA,2.2,2.42,2.07,NA,2.4,2017,NA,2465,2016,1795,NA,1910
"80","Rwanda",NA,NA,6.47,4.97,NA,NA,NA,NA,NA,1.61,2.11,NA,NA,NA,NA,NA,1527,1503,NA,NA,NA
"81","Saudi Arabia",NA,7.28,NA,NA,NA,NA,NA,NA,2.27,NA,NA,NA,NA,NA,NA,1494,NA,NA,NA,NA,NA
"82","Serbia",5.56,5.62,NA,6.01,6.7,NA,NA,2.45,2.47,NA,2.09,2,NA,NA,1265,1191,NA,1175,1034,NA,NA
"83","Singapore",NA,7.24,6.97,NA,6.99,NA,NA,NA,1.8,1.6,NA,1.82,NA,NA,NA,1512,1971,NA,2009,NA,NA
"84","Slovakia",6.07,NA,NA,NA,6.78,NA,6.15,2.24,NA,NA,NA,1.93,NA,2.17,1093,NA,NA,NA,1200,NA,463
"85","Slovenia",6.46,NA,7.35,7.24,NA,NA,NA,2.13,NA,1.94,1.95,NA,NA,NA,1000,NA,1061,1033,NA,NA,NA
"86","South Africa",6.08,6.31,6.68,7.2,NA,6.79,6.72,2.75,2.69,2.31,2.38,NA,2.28,2.71,2927,2995,3521,2977,NA,1559,2696
"87","South Korea",NA,6.21,6.61,6.39,6.73,5.33,6.69,NA,2.32,1.87,1.96,1.26,2.13,2.38,NA,1173,1189,1197,1245,941,1226
"88","Spain",6.61,6.98,6.77,7.31,NA,NA,7.15,1.97,1.83,1.76,1.5,NA,NA,1.94,1203,1205,1168,1195,NA,NA,1499
"89","Sweden",7.77,7.64,7.62,7.72,NA,8.01,7.97,1.81,1.86,1.67,1.89,NA,1.74,1.74,1007,1012,1204,2154,NA,947,1045
"90","Switzerland",8.02,NA,NA,7.91,NA,NA,8.36,1.83,NA,NA,1.63,NA,NA,1.75,1204,NA,NA,1232,NA,NA,1400
"91","Taiwan",6.56,NA,6.89,6.66,7.07,NA,NA,1.97,NA,2.07,2.07,2.03,NA,NA,778,NA,1216,1227,1223,NA,NA
"92","Tajikistan",NA,NA,NA,NA,7.95,NA,NA,NA,NA,NA,NA,1.88,NA,NA,NA,NA,NA,NA,1200,NA,NA
"93","Tanzania",NA,3.87,NA,NA,NA,NA,NA,NA,3.22,NA,NA,NA,NA,NA,NA,1145,NA,NA,NA,NA,NA
"94","Thailand",NA,NA,7.57,7.21,6.6,NA,NA,NA,NA,1.94,1.81,2.17,NA,NA,NA,NA,1196,1532,1495,NA,NA
"95","Trinidad & Tobago",NA,NA,7.47,7.26,NA,NA,NA,NA,NA,2.11,2.23,NA,NA,NA,NA,NA,998,999,NA,NA,NA
"96","Tunisia",NA,NA,5.58,NA,5.52,NA,NA,NA,NA,2.6,NA,2.49,NA,NA,NA,NA,1198,NA,1207,NA,NA
"97","Turkey",6.18,5.8,7.27,7.46,6.52,NA,6.41,2.52,2.69,2.07,2.24,1.91,NA,2.45,1900,3400,1601,1346,2405,NA,1027
"98","Uganda",NA,5.65,NA,NA,NA,NA,NA,NA,2.47,NA,NA,NA,NA,NA,NA,1002,NA,NA,NA,NA,NA
"99","Ukraine",3.95,NA,5.9,5.81,6.1,NA,NA,2.28,NA,2.46,2.31,2.12,NA,NA,2669,NA,1500,996,1264,NA,NA
"100","United Kingdom",7.58,NA,NA,7.55,7.32,NA,NA,1.95,NA,NA,1.64,1.82,NA,NA,1092,NA,NA,1038,2594,NA,NA
"101","United States",7.67,7.66,7.44,7.26,7.22,7.66,7.73,2.01,1.82,1.86,1.77,1.91,1.96,1.83,1534,1200,2216,1241,2583,2316,1834
"102","Uruguay",7.13,NA,7.6,7.46,8.13,NA,NA,2.28,NA,2.02,1.87,1.84,NA,NA,996,NA,991,993,999,NA,NA
"103","Uzbekistan",NA,NA,7.89,NA,NA,NA,NA,NA,NA,1.87,NA,NA,NA,NA,NA,NA,1493,NA,NA,NA,NA
"104","Venezuela",6.72,7.52,NA,NA,7.02,NA,NA,3,2.5,NA,NA,2.39,NA,NA,1187,1198,NA,NA,1190,NA,NA
"105","Vietnam",NA,6.52,NA,7.09,8.03,NA,NA,NA,2.06,NA,1.89,1.54,NA,NA,NA,992,NA,1482,1200,NA,NA
"106","Yemen",NA,NA,5.89,NA,NA,NA,NA,NA,NA,2.66,NA,NA,NA,NA,NA,NA,985,NA,NA,NA,NA
"107","Zambia",NA,NA,NA,6.06,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,1463,NA,NA,NA
"108","Zimbabwe",NA,3.94,6.04,NA,4.95,NA,NA,NA,2.79,2.24,NA,3.32,NA,NA,NA,1000,1500,NA,1214,NA,NA
