"","country_name","average_ls_val","n.x","rank_m","prior_ls_val","n.y","rank_p","sum_WGT_by_country","total_WGT","suff_ls_val","n.x.x","rank_s","ls_gini_val","n.y.y","rank_g","ninety_percentile","ten_percentile","ls_9010ratio","n","rank_9010"
"1","Andorra",7.53792415169661,1002,20,1.99081982137006,1002,9,46,1002,4.59081836327345,64,4,0.118666017627132,1002,6,10,5,2,1002,12.5
"2","Argentina",7.68973937473976,1003,12,1.83570654725707,1003,32,49.40629,1002.99997700001,4.9258515586187,64,7,0.337750658548797,1003,51,13.28134,2.42332,5.48063813280953,1003,52
"3","Armenia",6.68988688630492,1220,46,1.65090883788435,1220,56,208.26435,1221.10236,17.0554375146732,64,54,0.346812396555113,1220,53,11.373681,1.763652,6.44893720529903,1220,56
"4","Australia",7.27894966609851,1797,28,1.68557680106669,1797,52,136.193951,1796.147832,7.58255799292137,64,21,0.423792639193994,1797,62,15.6475326,2.1780456,7.18420798903384,1797,60
"5","Bangladesh",7.60416666666667,1200,15,1.98213303168867,1200,10,61,1200,5.08333333333333,64,10,0.129510410958904,1200,8,10,5,2,1200,12.5
"6","Bolivia",7.47376093294461,2058,22,1.95793436991835,2058,15,152,2058,7.38581146744412,64,17,0.152590321796565,2058,16,10,5,2,2058,12.5
"7","Brazil",7.54265716398059,1754,18,1.94277738416844,1754,18,155.832437,1754.99192899998,8.87938197463937,64,28,0.179647887770058,1754,26,10.09757,4.563235,2.21280955287203,1754,21
"8","Canada",6.96638928700676,4018,38,1.69263230841748,4018,49,430.410263,4018.00009499993,10.712052086201,64,36,0.376892964612137,4018,58,13.72024,2.114252,6.48940618242291,4018,57
"9","Chile",7.01442227902509,991,35,1.74643885093644,991,45,137.355842,992.481561000001,13.8396366640407,64,49,0.343305964511324,991,52,11.62637,3.055344,3.80525728035861,991,41
"10","China",7.36531666021314,3024,24,1.78223977702542,3024,40,230.061404,3024.49783799999,7.60659839493001,64,22,0.351166408041117,3024,54,14.0273368,2.62765,5.33835815272202,3024,51
"11","Colombia",8.1875,1520,4,2.04021097375746,1520,3,82,1520,5.39473684210526,64,11,0.134928157577552,1520,11,10,5,2,1520,12.5
"12","Cyprus",6.91391426539296,996,40,1.68779347703688,996,50,121.732627,997.919172000005,12.1986459841258,64,42,0.354107006050119,996,55,13.318137,2.080828,6.40040262818455,996,55
"13","Czechia",7.02954942362883,1200,32,1.86051842187065,1200,27,133.566093,1199.999988,11.1305078613051,64,38,0.227283099097148,1200,35,10.8527387,3.695013,2.93713139845516,1200,34
"14","Ecuador",7.78547579298831,1198,10,1.96863213641708,1198,12,102,1198,8.51419031719533,64,26,0.158858900139667,1198,19,10,5,2,1198,12.5
"15","Egypt",5.86800334168755,1197,59,1.6565464570834,1197,55,290,1197,24.2272347535505,64,58,0.221544512381942,1197,33,9,3,3,1197,35
"16","Ethiopia",5.77949552481692,1229,60,1.56468115465853,1229,59,341,1229,27.7461350691619,64,59,0.277983368514455,1229,43,10,1,10,1229,62.5
"17","Germany",7.73736047275115,1523,11,2.01436693939619,1523,7,73,1523,4.79317137229153,64,6,0.11647162606051,1523,4,10,5,2,1523,12.5
"18","Greece",6.16610993721872,1200,56,1.67835717958395,1200,53,224.346234,1200.232601,18.6918963718433,64,55,0.269183048057992,1200,41,9.91693620000001,2.772276,3.57718214203781,1200,39
"19","Guatemala",7.49959316517494,1229,21,1.95569985355826,1229,16,107,1229,8.70626525630594,64,27,0.157505504430602,1229,18,10,5,2,1229,12.5
"20","Hong Kong SAR China",6.6553105781815,2074,49,1.76066994317668,2074,42,221.624951,2074.27995099999,10.6844281502676,64,34,0.283738340337827,2074,45,11.711624,3.256971,3.59586376421528,2074,40
"21","Indonesia",7.56165456543544,3196,16,1.54776586677609,3196,61,321.598281,3197.999793,10.0562320768105,64,33,0.479822454170962,3196,64,17.167277,1.00485,17.0844175747624,3196,64
"22","Iran",6.20093457943925,1498,55,1.67555745978616,1498,54,305,1498,20.3604806408545,64,57,0.23777819236069,1498,37,10,2,5,1498,48.5
"23","Iraq",4.465,1200,64,1.40006580013129,1200,63,662,1200,55.1666666666667,64,64,0.222661751897474,1200,34,7,3,2.33333333333333,1200,25
"24","Japan",6.7593984962406,1330,43,1.85353000818538,1330,30,174,1330,13.0827067669173,64,43,0.155694798732092,1330,17,9,4,2.25,1330,23
"25","Jordan",6.86783042394015,1203,41,1.82877056828843,1203,33,164,1203,13.6325852036575,64,46,0.197047122369981,1203,30,10,4,2.5,1203,29
"26","Kazakhstan",6.91593973037272,1261,39,1.87123378838999,1261,24,150,1261,11.8953211736717,64,40,0.173807451200448,1261,24,10,4,2.5,1261,29
"27","Kenya",5.875,1256,58,1.6143837052751,1256,58,365,1256,29.0605095541401,64,60,0.2589603781777,1256,40,10,2,5,1256,48.5
"28","Kyrgyzstan",8.39692970680092,1198,2,1.94819413910758,1198,17,66.179449,1198.742583,5.52073897586733,64,12,0.308278172417016,1198,48,13.81461,3.2505881,4.2498801986016,1198,45
"29","Lebanon",6.68333333333333,1200,47,1.85742334892115,1200,29,101,1200,8.41666666666667,64,25,0.118055694098088,1200,5,8,5,1.6,1200,2.5
"30","Libya",7.92887746358183,1167,9,2.01554486721762,1167,6,78,1167,6.68380462724936,64,16,0.151024642787059,1167,14,10,5,2,1167,12.5
"31","Macao SAR China",6.45988258317025,1022,54,1.82160197889933,1022,34,112,1022,10.958904109589,64,37,0.144461946240569,1022,13,8,4,2,1022,12.5
"32","Malaysia",6.98933739527799,1313,36,1.90178597077686,1313,20,97,1313,7.38766184310739,64,18,0.136921329118352,1313,12,9,5,1.8,1313,5
"33","Maldives",7.30183220829315,1037,27,1.92313405743171,1037,19,111,1037,10.7039537126326,64,35,0.166476400645733,1037,21,10,4,2.5,1037,29
"34","Mexico",8.15054156328509,1740,5,2.02738525963635,1740,5,110.500451,1740.126456,6.35013913034836,64,15,0.184875724367131,1740,28,11.29072,4.606045,2.4512830421761,1740,26
"35","Mongolia",6.55145189833475,1638,52,1.74717365107805,1638,44,196.966773999999,1637.99970900003,12.0248357138137,64,41,0.274792393888092,1638,42,11.727312,3.674475,3.19156124344294,1638,37
"36","Morocco",6.68166666666667,1200,48,1.81742704343957,1200,35,174,1200,14.5,64,51,0.18260996092126,1200,27,10,4,2.5,1200,29
"37","Myanmar (Burma)",7.2,1200,30,1.86996921428214,1200,25,163,1200,13.5833333333333,64,45,0.199969135802469,1200,31,10,3,3.33333333333333,1200,38
"38","Netherlands",7.35724672806592,2063,25,1.96747479352242,2063,13,95,2063,4.60494425593795,64,5,0.100421196661469,2063,2,9,6,1.5,2063,1
"39","New Zealand",7.54536585365854,1025,17,1.97578451241799,1025,11,80,1025,7.80487804878049,64,23,0.132010570997874,1025,10,10,5,2,1025,12.5
"40","Nicaragua",7.94333333333333,1200,8,1.99946784317074,1200,8,89,1200,7.41666666666667,64,19,0.152261155406351,1200,15,10,5,2,1200,12.5
"41","Nigeria",5.58249113699371,1236,61,1.546752106238,1236,62,462.226592999998,1236.198775,37.3909602846838,64,62,0.290571929666509,1236,46,9.04594,1.765306,5.12429006642474,1236,50
"42","Northern Ireland",7.53794851754667,446,19,1.74095774700738,446,46,25.707036,446.494767,5.75752234964044,64,13,0.405959304339363,446,60,16.55628,2.4094395,6.87142383114413,446,58
"43","Pakistan",7.66935483870968,1984,13,1.96126728052921,1984,14,194,1984,9.77822580645161,64,31,0.170528926469591,1984,23,10,5,2,1984,12.5
"44","Peru",7.64493426277221,1396,14,1.88149865649708,1396,23,69.531918,1395.85290000001,4.98132131258241,64,8,0.281296959047752,1396,44,12.37863,2.945184,4.20300735030477,1396,44
"45","Philippines",7.3999206133334,1200,23,1.80652079623847,1200,37,141.90678,1199.99999999999,11.8255650000001,64,39,0.327159723569882,1200,50,16.083216,2.75196,5.84427680634893,1200,53
"46","Puerto Rico",8.40463458110517,1122,1,2.07011136809583,1122,1,66,1122,5.88235294117647,64,14,0.125030102660943,1122,7,10,5,2,1122,12.5
"47","Romania",7.13947252393043,1247,31,1.79334864434645,1247,38,124.385353,1249.348962,9.95601363456368,64,32,0.310628888474943,1247,49,12.3736768,3.061128,4.04219516465826,1247,42
"48","Russia",6.57416429812788,1795,51,1.78508054101131,1795,39,244.705643,1794.80141200002,13.6341347496108,64,47,0.22959834921406,1795,36,10.04128,3.52027,2.85241757024319,1795,33
"49","Serbia",6.70406189555126,1034,45,1.84411987476497,1034,31,137,1034,13.2495164410058,64,44,0.166710381367046,1034,22,9,4,2.25,1034,23
"50","Singapore",6.98223098707044,2009,37,1.88210791077493,2009,22,167.834095,2009.185324,8.35334067968733,64,24,0.174184778094709,2009,25,9.486624,4.343075,2.18431042521716,2009,20
"51","Slovakia",6.82992765125851,1200,42,1.76020765304363,1200,43,176.236585,1200.000003,14.6863820466174,64,52,0.308256619634952,1200,47,11.888947,2.8949697,4.10676042654263,1200,43
"52","South Korea",6.72690763052209,1245,44,1.88570856347286,1245,21,63,1245,5.06024096385542,64,9,0.100385014685608,1245,1,8,5,1.6,1245,2.5
"53","Taiwan",7.02764914293251,1223,33,1.7027920492893,1223,48,115.179727,1223.000007,9.41780264437889,64,29,0.374867909842015,1223,57,13.600544,2.3126336,5.88097656282431,1223,54
"54","Tajikistan",7.94916666666667,1200,7,2.03890973448035,1200,4,42,1200,3.5,64,2,0.130916500681413,1200,9,10,5,2,1200,12.5
"55","Thailand",6.58550036599959,1495,50,1.76935758381639,1495,41,236.745154,1494.914244,15.8367046772216,64,53,0.248303353325921,1495,38,10.467264,3.449355,3.03455689541958,1495,36
"56","Tunisia",5.52195526097763,1207,62,1.55942037697895,1207,60,382,1207,31.6487158243579,64,61,0.255807116650745,1207,39,9,2,4.5,1207,46
"57","Turkey",6.51808731808732,2405,53,1.81578048343536,2405,36,337,2405,14.012474012474,64,50,0.16221717428658,2405,20,9,4,2.25,2405,23
"58","Ukraine",6.08187586597646,1264,57,1.70895447601193,1264,47,255.687406,1263.611148,20.2346589300588,64,56,0.213039256958211,1264,32,8.9201426,3.2438594,2.74985487965354,1264,32
"59","United Kingdom",7.33627567640511,2594,26,1.62888461145379,2594,57,195.921734,2598.28391199994,7.54042824554903,64,20,0.462519830083145,2594,63,15.0365733,2.096052,7.17375966817618,2594,59
"60","United States",7.27094928980772,2583,29,1.68601176016947,2583,51,248.29565,2578.573856,9.62918511805464,64,30,0.413556163195047,2583,61,14.221838,1.968668,7.22409161930808,2583,61
"61","Uruguay",8.19762865107603,999,3,1.8678175659183,999,26,36.153761,999.071530999998,3.6187359841805,64,3,0.372630651639262,999,56,14.7397978,3.271065,4.50611583689104,999,47
"62","Venezuela",7.01680672268908,1190,34,1.85834703778788,1190,28,164,1190,13.781512605042,64,48,0.190224727016555,1190,29,10,4,2.5,1190,29
"63","Vietnam",8.02583333333333,1200,6,2.06028875674827,1200,2,16,1200,1.33333333333333,64,1,0.105345152805178,1200,3,10,6,1.66666666666667,1200,4
"64","Zimbabwe",4.9505766062603,1214,63,1.27518742980845,1214,64,540,1214,44.4810543657331,64,63,0.378623217208003,1214,59,10,1,10,1214,62.5
